preco,ativo,moeda,horario_coleta,inserido_em
67361.135,BTC,USD,2026-02-18 10:35:20.744507,
4975.2001953125,GC=F,USD,,2026-02-18 10:35:25.757585
63.790000915527344,CL=F,USD,,2026-02-18 10:35:25.913598
76.09500122070312,SI=F,USD,,2026-02-18 10:35:26.070536
67373.675,BTC,USD,2026-02-18 10:35:56.921929,
4978.0,GC=F,USD,,2026-02-18 10:35:57.084716
63.81999969482422,CL=F,USD,,2026-02-18 10:35:57.247165
76.23500061035156,SI=F,USD,,2026-02-18 10:35:57.424114
67376.675,BTC,USD,2026-02-18 10:36:28.013360,
4978.2998046875,GC=F,USD,,2026-02-18 10:36:28.182484
63.81999969482422,CL=F,USD,,2026-02-18 10:36:28.349630
76.32499694824219,SI=F,USD,,2026-02-18 10:36:28.506993
67356.105,BTC,USD,2026-02-18 10:38:51.742517,
4976.7998046875,GC=F,USD,,2026-02-18 10:38:54.297902
63.77000045776367,CL=F,USD,,2026-02-18 10:38:54.538990
76.38999938964844,SI=F,USD,,2026-02-18 10:38:54.767593
67384.185,BTC,USD,2026-02-18 10:39:25.532171,
4976.7001953125,GC=F,USD,,2026-02-18 10:39:25.729134
63.7599983215332,CL=F,USD,,2026-02-18 10:39:25.907055
76.3949966430664,SI=F,USD,,2026-02-18 10:39:26.101001
67373.825,BTC,USD,2026-02-18 10:39:56.665624,
4977.7001953125,GC=F,USD,,2026-02-18 10:39:56.873042
63.83000183105469,CL=F,USD,,2026-02-18 10:39:57.048403
76.37000274658203,SI=F,USD,,2026-02-18 10:39:57.224397
67354.005,BTC,USD,2026-02-18 10:40:27.961463,
4978.0,GC=F,USD,,2026-02-18 10:40:28.898683
63.81999969482422,CL=F,USD,,2026-02-18 10:40:29.081261
76.31999969482422,SI=F,USD,,2026-02-18 10:40:29.257402
67279.99,BTC,USD,2026-02-18 10:41:00.028141,
4979.2001953125,GC=F,USD,,2026-02-18 10:41:00.212953
63.83000183105469,CL=F,USD,,2026-02-18 10:41:00.423673
76.3499984741211,SI=F,USD,,2026-02-18 10:41:00.602404
67268.225,BTC,USD,2026-02-18 10:41:31.346652,
4979.2998046875,GC=F,USD,,2026-02-18 10:41:31.525956
63.79999923706055,CL=F,USD,,2026-02-18 10:41:31.707976
76.4000015258789,SI=F,USD,,2026-02-18 10:41:31.904311
67286.91,BTC,USD,2026-02-18 10:42:02.490260,
4978.7001953125,GC=F,USD,,2026-02-18 10:42:02.804075
63.81999969482422,CL=F,USD,,2026-02-18 10:42:02.972469
76.3949966430664,SI=F,USD,,2026-02-18 10:42:03.159652
67326.03,BTC,USD,2026-02-18 10:42:33.749589,
4978.39990234375,GC=F,USD,,2026-02-18 10:42:33.928528
63.810001373291016,CL=F,USD,,2026-02-18 10:42:34.125528
76.37000274658203,SI=F,USD,,2026-02-18 10:42:34.385311
67271.015,BTC,USD,2026-02-18 10:43:05.482390,
4977.60009765625,GC=F,USD,,2026-02-18 10:43:05.656788
63.81999969482422,CL=F,USD,,2026-02-18 10:43:05.840437
76.40499877929688,SI=F,USD,,2026-02-18 10:43:06.044477
67223.41,BTC,USD,2026-02-18 10:43:36.950991,
4978.0,GC=F,USD,,2026-02-18 10:43:37.123234
63.790000915527344,CL=F,USD,,2026-02-18 10:43:37.310201
76.41999816894531,SI=F,USD,,2026-02-18 10:43:37.484031
67279.225,BTC,USD,2026-02-18 10:44:08.269729,
4980.39990234375,GC=F,USD,,2026-02-18 10:44:08.446182
63.779998779296875,CL=F,USD,,2026-02-18 10:44:08.619116
76.47000122070312,SI=F,USD,,2026-02-18 10:44:08.791822
67233.605,BTC,USD,2026-02-18 10:44:39.535992,
4980.10009765625,GC=F,USD,,2026-02-18 10:44:39.729175
63.79999923706055,CL=F,USD,,2026-02-18 10:44:39.899218
76.46499633789062,SI=F,USD,,2026-02-18 10:44:40.109579
67262.915,BTC,USD,2026-02-18 10:45:10.733028,
4979.89990234375,GC=F,USD,,2026-02-18 10:45:11.042202
63.790000915527344,CL=F,USD,,2026-02-18 10:45:11.222485
76.4000015258789,SI=F,USD,,2026-02-18 10:45:11.414621
67266.705,BTC,USD,2026-02-18 10:45:42.005205,
4980.10009765625,GC=F,USD,,2026-02-18 10:45:42.202359
63.79999923706055,CL=F,USD,,2026-02-18 10:45:42.379007
76.46499633789062,SI=F,USD,,2026-02-18 10:45:42.585587
67246.985,BTC,USD,2026-02-18 10:46:13.409771,
4980.5,GC=F,USD,,2026-02-18 10:46:13.588527
63.79999923706055,CL=F,USD,,2026-02-18 10:46:13.768764
76.57499694824219,SI=F,USD,,2026-02-18 10:46:13.945752
67222.4,BTC,USD,2026-02-18 10:46:44.456863,
4986.5,GC=F,USD,,2026-02-18 10:46:44.634062
63.810001373291016,CL=F,USD,,2026-02-18 10:46:44.812307
76.875,SI=F,USD,,2026-02-18 10:46:45.009609
67198.585,BTC,USD,2026-02-18 10:47:15.752511,
4987.7001953125,GC=F,USD,,2026-02-18 10:47:15.929145
63.779998779296875,CL=F,USD,,2026-02-18 10:47:16.107679
76.75499725341797,SI=F,USD,,2026-02-18 10:47:16.281175
67178.995,BTC,USD,2026-02-18 10:47:47.063234,
4988.60009765625,GC=F,USD,,2026-02-18 10:47:47.246535
63.77000045776367,CL=F,USD,,2026-02-18 10:47:47.425900
76.78500366210938,SI=F,USD,,2026-02-18 10:47:47.610030
67117.0,BTC,USD,2026-02-18 10:48:18.096771,
4982.60009765625,GC=F,USD,,2026-02-18 10:48:18.285117
63.77000045776367,CL=F,USD,,2026-02-18 10:48:18.469665
76.63999938964844,SI=F,USD,,2026-02-18 10:48:18.650930
67146.585,BTC,USD,2026-02-18 10:48:49.223388,
4983.10009765625,GC=F,USD,,2026-02-18 10:48:49.421259
63.790000915527344,CL=F,USD,,2026-02-18 10:48:49.597718
76.73500061035156,SI=F,USD,,2026-02-18 10:48:49.783235
67131.205,BTC,USD,2026-02-18 10:49:20.612738,
4983.10009765625,GC=F,USD,,2026-02-18 10:49:20.814634
63.779998779296875,CL=F,USD,,2026-02-18 10:49:20.990653
76.74500274658203,SI=F,USD,,2026-02-18 10:49:21.174799
67147.995,BTC,USD,2026-02-18 10:49:51.881586,
4983.0,GC=F,USD,,2026-02-18 10:49:52.056088
63.7599983215332,CL=F,USD,,2026-02-18 10:49:52.236345
76.72000122070312,SI=F,USD,,2026-02-18 10:49:52.411829
67129.205,BTC,USD,2026-02-18 10:50:23.255285,
4982.2001953125,GC=F,USD,,2026-02-18 10:50:23.438103
63.7599983215332,CL=F,USD,,2026-02-18 10:50:23.641049
76.74500274658203,SI=F,USD,,2026-02-18 10:50:23.818047
67134.285,BTC,USD,2026-02-18 10:50:54.619976,
4979.2001953125,GC=F,USD,,2026-02-18 10:50:54.793408
63.7599983215332,CL=F,USD,,2026-02-18 10:50:54.972158
76.66500091552734,SI=F,USD,,2026-02-18 10:50:55.148597
67156.715,BTC,USD,2026-02-18 10:51:25.880408,
4976.89990234375,GC=F,USD,,2026-02-18 10:51:26.055986
63.7599983215332,CL=F,USD,,2026-02-18 10:51:26.240043
76.58999633789062,SI=F,USD,,2026-02-18 10:51:26.434072
